Kategoria,Nazwa,Cena obecna,Obnizka,#Indeks,Obraz,Rozmiary,Opis,Podsumowanie,Kolor,Aktywny,Regula podatkowa,Cana regularna przed obnizka,Wyprzedaz,Wyprzedaz od,Wyprzedaz do,Producent,Ilosc,Minimalna ilosc,Mala ilosc w magazynie,Powiadom gdy w magazynie mało,Utworzono,Magazyn,Dostepne,Pokaż cene,Tekst alternatywny,Tekst gdy na stanie,Pokaz cene
KOZAKI,Kozaki czarne,870,,   D03322-4330-003,"https://baldowski.b-cdn.net/10837-new_cart_photo/kozaki-czarne.jpg,https://baldowski.b-cdn.net/10839-new_cart_photo/kozaki-czarne.jpg","35,36,38,39,40","Kozaki czarne na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czarny,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Kozaki czarne,Dostępne,1
KOZAKI,Kozaki czarne,780,,   Z00034-4300-002,"https://baldowski.b-cdn.net/7857-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/7859-new_cart_photo/szpilki-czarne.jpg","39,40",Czarne buty na 11-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Kozaki czarne,Dostępne,1
KOZAKI,Kozaki multikolor,700,,   D02615-7633-001,"https://baldowski.b-cdn.net/7793-new_cart_photo/kozaki-multikolor.jpg,https://baldowski.b-cdn.net/7795-new_cart_photo/kozaki-multikolor.jpg","39,40,41","Kozaki na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej.," czarny, szary",1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Kozaki multikolor,Dostępne,1
KOZAKI,Kozaki czarne,800,,   D03274-2835-009,"https://baldowski.b-cdn.net/11046-new_cart_photo/kozaki-czarne.jpg,https://baldowski.b-cdn.net/11048-new_cart_photo/kozaki-czarne.jpg","36,38,39,40",Czarne kozaki,Na 8-centymetrowym obcasie., wykonane ze skóry naturalnej.,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Kozaki czarne,Dostępne,1
SNEAKERSY,Sneakersy granatowe,290,200.0,   W01022s/D lak.+zamsz granat,"https://baldowski.b-cdn.net/9581-new_cart_photo/sneakersy-granatowe.jpg,https://baldowski.b-cdn.net/9580-new_cart_photo/sneakersy-granatowe.jpg","35,40,41",Sneakersy na 8-centymetrowej platformie schowanej. ,Wykonane ze skóry naturalnej., granatowy,1,1,490.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Sneakersy granatowe,Dostępne,1
BOTKI,Botki brązowe,640,,   D03328-3359-004,"https://baldowski.b-cdn.net/11026-new_cart_photo/botki-brazowe.jpg,https://baldowski.b-cdn.net/11028-new_cart_photo/botki-brazowe.jpg","36,39,40,41",Brązowe botki na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., brązowy,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Botki brązowe,Dostępne,1
BY MACIEJ ZIEŃ,Botki czarne,390,430.0,   Z0001,"https://baldowski.b-cdn.net/4938-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/4939-new_cart_photo/botki-czarne.jpg",35,"Czarne buty na 10,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czarny,1,1,820.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Botki czarne,Dostępne,1
BOUTIQUE ŚLUBNY ,Szpilki ślubne białe,420,,   D00579-3514-034,"https://baldowski.b-cdn.net/5554-new_cart_photo/szpilki-slubne-biale.jpg,https://baldowski.b-cdn.net/5556-new_cart_photo/szpilki-slubne-biale.jpg","38,39,40,41",Białe szpilki na 8-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., biały,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki ślubne białe,Dostępne,1
SANDAŁY I KLAPKI,Sandały camel jasny,600,,   D02417- 3436-012,"https://baldowski.b-cdn.net/6252-new_cart_photo/sandaly-camel-jasny.jpg,https://baldowski.b-cdn.net/6470-new_cart_photo/sandaly-camel-jasny.jpg","37,40",Sandały w kolorze camel jasny na 9-centymetrowym obcasie.,"Wykonane ze skóry naturalnej, skóry naturalnej zamsz.", camel jasny,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Sandały camel jasny,Dostępne,1
PŁASKIE,Sandały beżowe,390,100.0,   D03131-3211-002,"https://baldowski.b-cdn.net/10016-new_cart_photo/sandały-beżowe.jpg,https://baldowski.b-cdn.net/10015-new_cart_photo/sandały-beżowe.jpg","36,38,39",Sandały beżowe na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., beżowy,1,1,490.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Sandały beżowe,Dostępne,1
OUTLET MĘSKI,Buty męskie czarne,249,311.0,   027,"https://baldowski.b-cdn.net/5075-new_cart_photo/buty-meskie-czarne.jpg,https://baldowski.b-cdn.net/5079-new_cart_photo/buty-meskie-czarne.jpg","41,42,44,45",Czarne buty męskie na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny,1,1,560.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Buty męskie czarne,Dostępne,1
OUTLET MĘSKI,Buty męskie oliwkowe,249,311.0,   M0076,"https://baldowski.b-cdn.net/4266-new_cart_photo/buty-meskie-oliwkowe.jpg,https://baldowski.b-cdn.net/4267-new_cart_photo/buty-meskie-oliwkowe.jpg",45,Oliwkowe buty męskie na 3-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., oliwkowy,1,1,560.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Buty męskie oliwkowe,Dostępne,1
OUTLET MĘSKI,Buty męskie czarne,199,361.0,   016,"https://baldowski.b-cdn.net/5043-new_cart_photo/buty-meskie-czarne.jpg,https://baldowski.b-cdn.net/5048-new_cart_photo/buty-meskie-czarne.jpg",45,Czarne buty męskie na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny,1,1,560.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Buty męskie czarne,Dostępne,1
OUTLET DAMSKI,Botki czarne,410,150.0,   D02302-3262-009/S06,"https://baldowski.b-cdn.net/6604-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/2973-new_cart_photo/botki-czarne.jpg",40,Czarne buty na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., czarny,1,1,560.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Botki czarne,Dostępne,1
